gene_name,BP,CC,MF
CRP,"['GO:0008228', 'GO:0032945', 'GO:0045087', 'GO:0032930', 'GO:0010888', 'GO:0042310', 'GO:0006953', 'GO:0006954', 'GO:0050830', 'GO:0010745', 'GO:0032677', 'GO:0010628']",['GO:0005576'],"['GO:0001849', 'GO:0033265', 'GO:0005509', 'GO:0030169', 'GO:0042802', 'GO:0050750']"
CTBP1,"['GO:0045892', 'GO:0050872', 'GO:0097091', 'GO:0007219', 'GO:0006357', 'GO:0019079', 'GO:0008285', 'GO:0000122', 'GO:0048488', 'GO:0006468', 'GO:0051726']","['GO:0098831', 'GO:0098982', 'GO:0017053', 'GO:0005634', 'GO:0005654', 'GO:0098978']","['GO:0016616', 'GO:0001222', 'GO:0003682', 'GO:0019904', 'GO:0061629', 'GO:0051287', 'GO:0140297', 'GO:0003714', 'GO:0106222', 'GO:0003713', 'GO:0042802', 'GO:0001221']"
CUL4A,"['GO:2000001', 'GO:0007283', 'GO:0000082', 'GO:0001701', 'GO:0008283', 'GO:0042110', 'GO:0048511', 'GO:0043161', 'GO:0140627', 'GO:0042254', 'GO:0008284', 'GO:1900087', 'GO:0006974', 'GO:0030853', 'GO:0006281', 'GO:0016567', 'GO:0097193', 'GO:0045732', 'GO:0034644', 'GO:0035019', 'GO:0030097', 'GO:2000819']","['GO:0080008', 'GO:0005737', 'GO:0005634', 'GO:0005654', 'GO:0031464']","['GO:0031625', 'GO:0061630', 'GO:0160072']"
CXCL16,"['GO:0030307', 'GO:0030335', 'GO:0034341', 'GO:0034097', 'GO:0006898', 'GO:0010818', 'GO:0034612', 'GO:0006935']","['GO:0005576', 'GO:0005886', 'GO:0016020']","['GO:0005044', 'GO:0008009', 'GO:0005041']"
CYB5A,[],"['GO:0005789', 'GO:0005741', 'GO:0005829', 'GO:0016020']","['GO:0046872', 'GO:0019899', 'GO:0020037']"
CYB5B,"['GO:0006805', 'GO:0006979', 'GO:0006809']","['GO:1903958', 'GO:0005789', 'GO:0005741', 'GO:0016020']","['GO:0046872', 'GO:0020037']"
CYCS,"['GO:0097194', 'GO:0097190', 'GO:0006123', 'GO:0045333', 'GO:0097193', 'GO:0006122']","['GO:0005739', 'GO:0005743', 'GO:0005758', 'GO:0005829', 'GO:0005634', 'GO:0043293']","['GO:0046872', 'GO:0009055', 'GO:0020037']"
CYP11A1,"['GO:0120178', 'GO:0006704', 'GO:0042359', 'GO:0006700', 'GO:0016125', 'GO:0034650', 'GO:0071375', 'GO:0008203']","['GO:0005739', 'GO:0005759', 'GO:0005743']","['GO:0005506', 'GO:0008386', 'GO:0020037']"
CYP17A1,"['GO:0042448', 'GO:0006694', 'GO:0006704', 'GO:0007548', 'GO:0034651', 'GO:0042446', 'GO:0008202', 'GO:0006702']","['GO:0005783', 'GO:0005789', 'GO:0030424', 'GO:0043025']","['GO:0005506', 'GO:0019825', 'GO:0016829', 'GO:0004508', 'GO:0020037']"
CYP19A1,"['GO:0061370', 'GO:0006694', 'GO:0006703', 'GO:0008585', 'GO:0010760', 'GO:0016125', 'GO:0030540', 'GO:2000866', 'GO:0032355', 'GO:0060736', 'GO:0002677', 'GO:0030879', 'GO:0006710', 'GO:0060065']","['GO:0005789', 'GO:0016020', 'GO:0005783']","['GO:0070330', 'GO:0005506', 'GO:0008395', 'GO:0016712', 'GO:0019825', 'GO:0020037', 'GO:0101021', 'GO:0009055']"
CYP1A1,"['GO:0043010', 'GO:0009812', 'GO:0009308', 'GO:0033595', 'GO:0048565', 'GO:0055093', 'GO:0009404', 'GO:0008210', 'GO:0006631', 'GO:0060137', 'GO:0032094', 'GO:0010041', 'GO:0006694', 'GO:0097267', 'GO:0009804', 'GO:0042572', 'GO:1904010', 'GO:0006805', 'GO:0019373', 'GO:0018958', 'GO:0008202', 'GO:0002933', 'GO:0042904', 'GO:0046685', 'GO:0046209', 'GO:0042178', 'GO:0019341', 'GO:0006706', 'GO:0017143', 'GO:1900087', 'GO:0048771', 'GO:0006778', 'GO:0071280', 'GO:0033189', 'GO:0009692', 'GO:0001666', 'GO:0042359', 'GO:0001676', 'GO:0009635', 'GO:0042759', 'GO:1904612', 'GO:1901497', 'GO:0035902', 'GO:0032496', 'GO:0009624', 'GO:0050665', 'GO:1904681', 'GO:0070365']","['GO:0005739', 'GO:0005789', 'GO:0005743']","['GO:0032451', 'GO:0120319', 'GO:0005506', 'GO:0016711', 'GO:0030544', 'GO:0004497', 'GO:0008395', 'GO:0051879', 'GO:0070576', 'GO:0106256', 'GO:0016712', 'GO:0019825', 'GO:0101020', 'GO:0016491', 'GO:0020037', 'GO:0019899', 'GO:0101021', 'GO:0008391', 'GO:0016679', 'GO:0102033']"
CYP27A1,"['GO:0006699', 'GO:0036378', 'GO:0006707', 'GO:0016125', 'GO:0008203']","['GO:0005739', 'GO:0005759', 'GO:0005743']","['GO:0005506', 'GO:0030343', 'GO:0047748', 'GO:0031073', 'GO:0008395', 'GO:0020037']"
CYP2C18,"['GO:0006805', 'GO:0042572', 'GO:0019373', 'GO:0043651', 'GO:0042573', 'GO:0042178']","['GO:0005789', 'GO:0005737', 'GO:0005886']","['GO:0005506', 'GO:0016712', 'GO:0008392', 'GO:0019825', 'GO:0008401', 'GO:0004497', 'GO:0071614', 'GO:0020037']"
CYP2C19,"['GO:0006805', 'GO:0097267', 'GO:0019373', 'GO:0008202', 'GO:0042178', 'GO:0001676', 'GO:0016098']","['GO:0043231', 'GO:0005737', 'GO:0005789', 'GO:0005886']","['GO:0120319', 'GO:0005506', 'GO:0004497', 'GO:0008395', 'GO:0052741', 'GO:0018675', 'GO:0016712', 'GO:0019825', 'GO:0016491', 'GO:0018676', 'GO:0020037', 'GO:0019899']"
CYP2C8,"['GO:0006082', 'GO:0046456', 'GO:0008210', 'GO:0006805', 'GO:0097267', 'GO:0042572', 'GO:0019373', 'GO:0008202', 'GO:0002933', 'GO:0042178', 'GO:0042573', 'GO:0042759', 'GO:0070989']","['GO:0005737', 'GO:0005789', 'GO:0005886']","['GO:0005506', 'GO:0004497', 'GO:0016712', 'GO:0008392', 'GO:0101020', 'GO:0020037', 'GO:0034875', 'GO:0008401']"
CYP2C9,"['GO:0046456', 'GO:0008210', 'GO:0006805', 'GO:0097267', 'GO:0019373', 'GO:0008202', 'GO:0019627', 'GO:0042178', 'GO:0090346', 'GO:0016098', 'GO:0042759', 'GO:0008203', 'GO:0032787', 'GO:0070989']","['GO:0043231', 'GO:0005737', 'GO:0005789', 'GO:0005886']","['GO:0005506', 'GO:0004497', 'GO:0008395', 'GO:0052741', 'GO:0008405', 'GO:0018675', 'GO:0016712', 'GO:0008392', 'GO:0016491', 'GO:0018676', 'GO:0020037', 'GO:0101021', 'GO:0008404', 'GO:0034875']"
CYP2D6,"['GO:0008210', 'GO:0019369', 'GO:0009822', 'GO:0006805', 'GO:0009804', 'GO:0042572', 'GO:0008202', 'GO:0042178', 'GO:0033076', 'GO:0016098', 'GO:0090350', 'GO:0042759', 'GO:0009820', 'GO:0008203', 'GO:0070989']","['GO:0005737', 'GO:0005739', 'GO:0005789', 'GO:0005783']","['GO:0005506', 'GO:0004497', 'GO:0062187', 'GO:0016712', 'GO:0062189', 'GO:0016491', 'GO:0020037', 'GO:0062188']"
CYP39A1,"['GO:0006699', 'GO:0007586', 'GO:0042632', 'GO:0006707', 'GO:0016125']","['GO:0043231', 'GO:0005789']","['GO:0033782', 'GO:0005506', 'GO:0008396', 'GO:0008395', 'GO:0020037']"
CYP3A4,"['GO:0008209', 'GO:0046222', 'GO:0008210', 'GO:0009822', 'GO:0006805', 'GO:0042572', 'GO:0008202', 'GO:0002933', 'GO:0042178', 'GO:0006706', 'GO:0042573', 'GO:0042359', 'GO:0016098', 'GO:0042759', 'GO:0008203', 'GO:0006629', 'GO:0042369', 'GO:0070989']","['GO:0043231', 'GO:0005737', 'GO:0005789']","['GO:0005506', 'GO:0004497', 'GO:0008395', 'GO:0070576', 'GO:0062187', 'GO:0050591', 'GO:0019825', 'GO:0050649', 'GO:0062189', 'GO:0101020', 'GO:0016491', 'GO:0020037', 'GO:0005496', 'GO:0019899', 'GO:0101021', 'GO:0030343', 'GO:0102320', 'GO:0034875', 'GO:0062188', 'GO:0008401', 'GO:0062181']"
CYP3A5,"['GO:0046222', 'GO:0008210', 'GO:0009822', 'GO:0006805', 'GO:0042572', 'GO:0008202', 'GO:0002933', 'GO:0042178', 'GO:0042573', 'GO:0070989']","['GO:0043231', 'GO:0005789']","['GO:0005506', 'GO:0004497', 'GO:0019825', 'GO:0050649', 'GO:0101020', 'GO:0016491', 'GO:0020037', 'GO:0101021', 'GO:0008401']"
CYP46A1,"['GO:0006805', 'GO:0006707', 'GO:0016125', 'GO:0042448', 'GO:0006699', 'GO:0007399', 'GO:1900271', 'GO:1903044']","['GO:0005783', 'GO:0005789', 'GO:0098793', 'GO:0098794', 'GO:0030425']","['GO:0005506', 'GO:0008395', 'GO:0062184', 'GO:0050649', 'GO:0020037', 'GO:0033781']"
CYP51A1,"['GO:0050709', 'GO:1900222', 'GO:0006694', 'GO:0006695', 'GO:0042177', 'GO:0016125', 'GO:0033488']","['GO:0005789', 'GO:0016020']","['GO:0005506', 'GO:0016712', 'GO:0008398', 'GO:0016491', 'GO:0020037']"
CYP7A1,"['GO:0071333', 'GO:0006699', 'GO:0070857', 'GO:0045471', 'GO:0071397', 'GO:0042632', 'GO:0032966', 'GO:0006707', 'GO:0045717', 'GO:0045542', 'GO:0016125']","['GO:0043231', 'GO:0005789']","['GO:0033782', 'GO:0005506', 'GO:0008123', 'GO:0020037']"
CYP7B1,"['GO:0035754', 'GO:0006699', 'GO:0060740', 'GO:0006694', 'GO:0033147', 'GO:0042632', 'GO:0030520', 'GO:0016125', 'GO:0050673', 'GO:0008203', 'GO:0050679']",['GO:0005789'],"['GO:0033782', 'GO:0005506', 'GO:0008396', 'GO:0033783', 'GO:0008395', 'GO:0020037']"
CYP8B1,"['GO:0006699', 'GO:0070723', 'GO:0006694', 'GO:0045797', 'GO:0031667', 'GO:0016125']",['GO:0005789'],"['GO:0008397', 'GO:0005506', 'GO:0019825', 'GO:0020037']"
DCAF7,['GO:0016567'],"['GO:0032991', 'GO:0005654', 'GO:0016363', 'GO:0016604', 'GO:0080008', 'GO:0005737', 'GO:0005829', 'GO:0005634']",['GO:0030674']
DCUN1D1,"['GO:0045116', 'GO:2000434', 'GO:2000436', 'GO:0031396']","['GO:0005654', 'GO:0000151', 'GO:0005737', 'GO:0005829', 'GO:0005634']","['GO:0031624', 'GO:0032182', 'GO:0097602']"
DERL1,"['GO:0031398', 'GO:0043161', 'GO:0030970', 'GO:0030968', 'GO:0031648', 'GO:0036503', 'GO:0045184', 'GO:0006986', 'GO:0071218']","['GO:0044322', 'GO:0005789', 'GO:0036502', 'GO:0016020', 'GO:0005769', 'GO:0005770', 'GO:0036513', 'GO:0005783']","['GO:0031625', 'GO:0038023', 'GO:0044877', 'GO:0002020', 'GO:0042288', 'GO:0005047', 'GO:1990381', 'GO:0042802', 'GO:0051117']"
DGAT1,"['GO:0006640', 'GO:0019432', 'GO:0046339', 'GO:0055089', 'GO:0035336', 'GO:0034379', 'GO:0006641', 'GO:0019915']","['GO:0005789', 'GO:0035579', 'GO:0005886', 'GO:0016020']","['GO:0042802', 'GO:0004144', 'GO:0016746', 'GO:0050252', 'GO:0003846']"
DGAT2,"['GO:0006640', 'GO:0046322', 'GO:0042632', 'GO:0055089', 'GO:0060613', 'GO:0007584', 'GO:0035356', 'GO:0010867', 'GO:0090181', 'GO:0034383', 'GO:0019432', 'GO:0046339', 'GO:0050746', 'GO:0035336', 'GO:0019915', 'GO:0071400', 'GO:0006071', 'GO:0045722', 'GO:0097006', 'GO:0006651']","['GO:0005829', 'GO:0005739', 'GO:0005789', 'GO:0016020', 'GO:0048471', 'GO:0005811', 'GO:1990578', 'GO:0005783']","['GO:0004144', 'GO:0042803', 'GO:0003846', 'GO:0050252']"
DGCR2,"['GO:0007155', 'GO:0050890', 'GO:0009887']",['GO:0016020'],['GO:0030246']
DHCR24,"['GO:0061024', 'GO:0006695', 'GO:0042987', 'GO:0033490', 'GO:0033489', 'GO:0030539', 'GO:0008202', 'GO:0043588', 'GO:0009888', 'GO:0007265', 'GO:0009725', 'GO:0031639', 'GO:0008285', 'GO:0008104']","['GO:0005737', 'GO:0005634', 'GO:0005789', 'GO:0000139', 'GO:0016020', 'GO:0005783']","['GO:0050614', 'GO:0019899', 'GO:0000246', 'GO:0071949', 'GO:0016628', 'GO:0042605']"
DHCR7,"['GO:0033489', 'GO:0006695', 'GO:0160020', 'GO:0033490']","['GO:0005640', 'GO:0005789', 'GO:0016020', 'GO:0005783']","['GO:0047598', 'GO:0033963', 'GO:0050661']"
DHDDS,"['GO:0043048', 'GO:0016094', 'GO:0006489']","['GO:0005789', 'GO:1904423', 'GO:0005783']","['GO:0046872', 'GO:0045547']"
DHFR,"['GO:0006730', 'GO:0046653', 'GO:2000121', 'GO:0046452', 'GO:0017148', 'GO:0006729', 'GO:0031103', 'GO:0046654', 'GO:0046655']","['GO:0005829', 'GO:0005739']","['GO:1990825', 'GO:0003729', 'GO:0060090', 'GO:0070402', 'GO:0000900', 'GO:0004146', 'GO:0050661', 'GO:0005542']"
DHRS11,"['GO:0006694', 'GO:0006703']",['GO:0005576'],"['GO:0072582', 'GO:0000253', 'GO:0004303', 'GO:0000166']"
DHRS7B,['GO:0008611'],"['GO:0005778', 'GO:0005789', 'GO:0016020']",['GO:0000140']
DNA2,"['GO:0000076', 'GO:1902990', 'GO:0033567', 'GO:0032392', 'GO:0006264', 'GO:0000729', 'GO:0043137', 'GO:0071932', 'GO:0000723', 'GO:0006284', 'GO:0006260', 'GO:0045740', 'GO:0043504', 'GO:0090656', 'GO:0032201']","['GO:0000781', 'GO:0005737', 'GO:0005634', 'GO:0005739', 'GO:0042645', 'GO:0005654']","['GO:0005524', 'GO:0017116', 'GO:0003723', 'GO:0033892', 'GO:0051539', 'GO:0003677', 'GO:0043139', 'GO:0016887', 'GO:0004386', 'GO:0046872', 'GO:0003678', 'GO:0017108', 'GO:0004518']"
DNM2,"['GO:0051258', 'GO:0061024', 'GO:0000086', 'GO:0007098', 'GO:0019886', 'GO:0006898', 'GO:0030516', 'GO:0006909', 'GO:0006355', 'GO:1903526', 'GO:0048489', 'GO:0016185', 'GO:0061572', 'GO:0043065', 'GO:0031623', 'GO:0007165', 'GO:0006897', 'GO:0033572', 'GO:0006892', 'GO:0043149', 'GO:0006914', 'GO:0099050', 'GO:0048812', 'GO:0045893', 'GO:0097749']","['GO:0005813', 'GO:0005768', 'GO:0014069', 'GO:0030670', 'GO:0045211', 'GO:0005829', 'GO:0070062', 'GO:0030666', 'GO:0005737', 'GO:0030136', 'GO:0005874', 'GO:0005905', 'GO:0030496', 'GO:0005794', 'GO:0000139', 'GO:0005886', 'GO:0005814', 'GO:0098793', 'GO:0005925', 'GO:0043005', 'GO:0001931', 'GO:0002102', 'GO:0001891', 'GO:0055037', 'GO:0045202']","['GO:0017124', 'GO:0005546', 'GO:0019899', 'GO:0003924', 'GO:0008017', 'GO:0005525']"
EBP,"['GO:0043931', 'GO:0030097', 'GO:0033489', 'GO:0006695', 'GO:0033490', 'GO:0008203']","['GO:0005635', 'GO:0005783', 'GO:0005789', 'GO:0031410', 'GO:0031965']","['GO:0042802', 'GO:0047750', 'GO:0004769', 'GO:0000247', 'GO:0033963']"
EGR2,"['GO:0030278', 'GO:0021612', 'GO:0031643', 'GO:0021665', 'GO:0006611', 'GO:0042552', 'GO:0010467', 'GO:0007622', 'GO:0007422', 'GO:0008045', 'GO:0006357', 'GO:0007420', 'GO:0045444', 'GO:0021659', 'GO:0045944', 'GO:0014037', 'GO:0014040', 'GO:0016925', 'GO:0045893', 'GO:0035914', 'GO:0035904']","['GO:0000785', 'GO:0005737', 'GO:0005634', 'GO:0005654']","['GO:0031625', 'GO:0008270', 'GO:0000976', 'GO:1990837', 'GO:0003682', 'GO:0001228', 'GO:0061629', 'GO:0061665', 'GO:0000981', 'GO:0043565', 'GO:0000978', 'GO:0003700']"
ELOVL5,"['GO:0034625', 'GO:0006636', 'GO:0030148', 'GO:0034626', 'GO:0035338', 'GO:0045723', 'GO:0043651', 'GO:0019367', 'GO:0042761', 'GO:0036109', 'GO:0042759']","['GO:0005789', 'GO:0097447', 'GO:0043025', 'GO:0016020', 'GO:0030425', 'GO:0005783']",['GO:0009922']
ELOVL6,"['GO:0034625', 'GO:0006636', 'GO:0030148', 'GO:0034626', 'GO:0035338', 'GO:0120162', 'GO:0042761', 'GO:0019367', 'GO:0042759']","['GO:0009923', 'GO:0005789', 'GO:0005783']",['GO:0009922']
EP300,"['GO:0007611', 'GO:0035264', 'GO:0036268', 'GO:0030183', 'GO:0032460', 'GO:0006473', 'GO:0009887', 'GO:0007507', 'GO:0031333', 'GO:1902340', 'GO:0090043', 'GO:0001666', 'GO:0045815', 'GO:0000122', 'GO:0042307', 'GO:0002223', 'GO:1900034', 'GO:0006915', 'GO:0010976', 'GO:0001966', 'GO:0010506', 'GO:0030220', 'GO:2000330', 'GO:0071233', 'GO:0140066', 'GO:1901796', 'GO:0002209', 'GO:0046427', 'GO:0060325', 'GO:0010821', 'GO:0034644', 'GO:0061921', 'GO:0010507', 'GO:0007399', 'GO:0060765', 'GO:0042771', 'GO:1904263', 'GO:0031669', 'GO:0050821', 'GO:1904515', 'GO:1903444', 'GO:0045721', 'GO:0035855', 'GO:0031648', 'GO:0045444', 'GO:0006475', 'GO:0007623', 'GO:0030324', 'GO:0140861', 'GO:0001756', 'GO:0030511', 'GO:0060070', 'GO:0045893', 'GO:0018393', 'GO:0043627', 'GO:0043923', 'GO:0007249', 'GO:0007519', 'GO:0045944', 'GO:0140067', 'GO:0006110']","['GO:0005667', 'GO:0000785', 'GO:0005634', 'GO:0000123', 'GO:0005829', 'GO:0005737', 'GO:0032993', 'GO:0005654']","['GO:0140069', 'GO:0043993', 'GO:0048156', 'GO:0050681', 'GO:0003684', 'GO:0008013', 'GO:0001223', 'GO:0008270', 'GO:0016746', 'GO:0097677', 'GO:0051059', 'GO:0044013', 'GO:0160263', 'GO:0016922', 'GO:0061629', 'GO:0120301', 'GO:0061733', 'GO:0140033', 'GO:0016407', 'GO:0140065', 'GO:0010485', 'GO:0140908', 'GO:0061920', 'GO:0004468', 'GO:0097157', 'GO:0003682', 'GO:0003677', 'GO:0140297', 'GO:0004402', 'GO:0003713', 'GO:0140068', 'GO:0106226', 'GO:0044017', 'GO:0031490', 'GO:0140230', 'GO:0010484', 'GO:0002039', 'GO:0001221']"
EPHX2,"['GO:0042632', 'GO:0097176', 'GO:0001558', 'GO:0016311', 'GO:0090181', 'GO:0009636', 'GO:0046839', 'GO:0010628', 'GO:0046272']","['GO:0005829', 'GO:0070062', 'GO:0005777', 'GO:0005782']","['GO:0015643', 'GO:0042803', 'GO:0016791', 'GO:0052642', 'GO:0042577', 'GO:0004301', 'GO:0000287', 'GO:0033885']"
ERG28,['GO:0016126'],"['GO:0005789', 'GO:0030133', 'GO:0016020', 'GO:0005783']","['GO:0042802', 'GO:0030674']"
ERLIN1,"['GO:0032933', 'GO:0045541', 'GO:0036503', 'GO:0045717', 'GO:0045540', 'GO:0008203']","['GO:0032991', 'GO:0045121', 'GO:0005789', 'GO:0005783']","['GO:0031625', 'GO:0015485']"
ERLIN2,"['GO:0032933', 'GO:0045541', 'GO:0036503', 'GO:0045717', 'GO:0045540', 'GO:0008203']","['GO:0032991', 'GO:0045121', 'GO:0005789', 'GO:0005829', 'GO:0005886', 'GO:0005783']","['GO:0031625', 'GO:0015485']"
ESR1,"['GO:0008209', 'GO:0034392', 'GO:0043401', 'GO:0051000', 'GO:0008584', 'GO:0006357', 'GO:0007165', 'GO:0000122', 'GO:0006338', 'GO:0007204', 'GO:1904035', 'GO:0010629', 'GO:0043124', 'GO:0060527', 'GO:0048146', 'GO:0045429', 'GO:0006355', 'GO:0071168', 'GO:0034121', 'GO:0032355', 'GO:0071391', 'GO:0002064', 'GO:0048144', 'GO:0030518', 'GO:0071392', 'GO:0030520', 'GO:0045893', 'GO:0048863', 'GO:0043627', 'GO:0060068', 'GO:0060749', 'GO:0050727', 'GO:0007200', 'GO:0060065', 'GO:0045944', 'GO:0051123', 'GO:1902894', 'GO:0060523']","['GO:0005667', 'GO:0005886', 'GO:0000785', 'GO:0005634', 'GO:0032991', 'GO:0005794', 'GO:0016020', 'GO:0000791', 'GO:0005829', 'GO:0005737', 'GO:0005654']","['GO:0030235', 'GO:0019899', 'GO:0071889', 'GO:0051117', 'GO:0008013', 'GO:0001223', 'GO:0030284', 'GO:0017025', 'GO:0008270', 'GO:0019901', 'GO:0004879', 'GO:0030331', 'GO:0000981', 'GO:0005516', 'GO:1990837', 'GO:0003682', 'GO:0001228', 'GO:0005496', 'GO:0001093', 'GO:0042802', 'GO:0003700', 'GO:0001222', 'GO:0034056', 'GO:0000978', 'GO:0001221']"
EVA1B,[],['GO:0016020'],[]
FABP1,"['GO:0070301', 'GO:1990748', 'GO:0071456', 'GO:0015908']","['GO:0005654', 'GO:0005829', 'GO:0005782', 'GO:0005634', 'GO:0070062']","['GO:0005504', 'GO:0003682', 'GO:0016209']"
FABP2,"['GO:0015908', 'GO:0098856', 'GO:0006631']","['GO:0045179', 'GO:0005829', 'GO:0005634', 'GO:0005902']","['GO:0005324', 'GO:0036041', 'GO:0005504']"
FABP4,"['GO:0045892', 'GO:0042632', 'GO:0050872', 'GO:0050729', 'GO:0070343', 'GO:0071356', 'GO:0015908', 'GO:0050873', 'GO:0015909', 'GO:0009617', 'GO:0120162', 'GO:0071285']","['GO:0005829', 'GO:0070062', 'GO:0005737', 'GO:0005634', 'GO:0005811']","['GO:0051427', 'GO:0005324', 'GO:0036041', 'GO:0005504']"
FADS1,"['GO:0006636', 'GO:0043651', 'GO:0046456', 'GO:0045595', 'GO:0006355', 'GO:0036109', 'GO:0042759', 'GO:0008654', 'GO:0009267', 'GO:0006629', 'GO:0007267']","['GO:0043231', 'GO:0005739', 'GO:0005789', 'GO:0016020']","['GO:0016717', 'GO:0016491', 'GO:0045485', 'GO:0000248', 'GO:0062076', 'GO:0016213']"
FADS2,"['GO:0006636', 'GO:0006629', 'GO:1900409', 'GO:0002538', 'GO:0043651', 'GO:0036109', 'GO:0042759']","['GO:0005789', 'GO:0005886', 'GO:0016020']","['GO:0016717', 'GO:0004768', 'GO:0016213']"
FAF2,"['GO:0034389', 'GO:0043161', 'GO:0036503', 'GO:0030970', 'GO:0035617', 'GO:0006986']","['GO:0005811', 'GO:0005576', 'GO:0034098', 'GO:0035578', 'GO:0005783']","['GO:0055102', 'GO:0035473', 'GO:0031625', 'GO:0043130', 'GO:0030674']"
FAM189A2,"['GO:0031623', 'GO:0038160', 'GO:0022401']","['GO:0031902', 'GO:0055038', 'GO:0031901', 'GO:0005886']",['GO:1990757']
FASN,"['GO:0046949', 'GO:0007584', 'GO:0061771', 'GO:0006631', 'GO:0044788', 'GO:0071353', 'GO:0008611', 'GO:0006954', 'GO:0030224', 'GO:0090557', 'GO:0001649', 'GO:0006633', 'GO:0030879', 'GO:0030223', 'GO:0006084']","['GO:0005829', 'GO:0070062', 'GO:0042587', 'GO:0005737', 'GO:0005794', 'GO:0042470', 'GO:0005886', 'GO:0016020']","['GO:0004316', 'GO:0019171', 'GO:0004315', 'GO:0045296', 'GO:0003723', 'GO:0016297', 'GO:0031177', 'GO:0042802', 'GO:0004314', 'GO:0004313', 'GO:0141148', 'GO:0004312']"
FAXDC2,"['GO:0045654', 'GO:0001934', 'GO:0016126']","['GO:0005789', 'GO:0005737']","['GO:0000254', 'GO:0005506']"
FBXO40,['GO:0042692'],"['GO:0005737', 'GO:0005829']","['GO:0061630', 'GO:0008270']"
FDFT1,"['GO:0006694', 'GO:0006695', 'GO:0045338']","['GO:0005789', 'GO:0016020', 'GO:0005783']","['GO:0046872', 'GO:0051996']"
FDPS,"['GO:0033384', 'GO:0006695', 'GO:0045337']","['GO:0005654', 'GO:0005759', 'GO:0005737', 'GO:0005829', 'GO:0005777']","['GO:0004161', 'GO:0046872', 'GO:0004337', 'GO:0003723']"
FNTA,"['GO:0016601', 'GO:1904395', 'GO:0060632', 'GO:0007179', 'GO:0007323', 'GO:0071340', 'GO:0018344', 'GO:0018343', 'GO:0035022']","['GO:0005829', 'GO:0005953', 'GO:0005737', 'GO:0005886', 'GO:0005875', 'GO:0005965']","['GO:0030971', 'GO:0004662', 'GO:0004661', 'GO:0060090', 'GO:0043014', 'GO:0019899', 'GO:0010698', 'GO:0008017', 'GO:0004663', 'GO:0004660']"
FNTB,"['GO:0006629', 'GO:0018343', 'GO:0060632', 'GO:0008284', 'GO:0045787']","['GO:0005829', 'GO:0005875', 'GO:0005965']","['GO:0019899', 'GO:0004660', 'GO:0010698', 'GO:0008270', 'GO:0042277']"
FOXM1,"['GO:0045892', 'GO:0000086', 'GO:0032873', 'GO:0042127', 'GO:0046578', 'GO:2000781', 'GO:2000377', 'GO:0008284', 'GO:0006357', 'GO:0006281', 'GO:0030330', 'GO:0045944', 'GO:0007346', 'GO:0000122', 'GO:0051726', 'GO:0045893']","['GO:0000785', 'GO:0005634', 'GO:0005654']","['GO:0019901', 'GO:0003677', 'GO:0000981', 'GO:0000977', 'GO:0003700']"
FOXO1,"['GO:0097009', 'GO:0045892', 'GO:0034393', 'GO:0032873', 'GO:0097150', 'GO:1903243', 'GO:0010508', 'GO:0046676', 'GO:0060260', 'GO:0043066', 'GO:0090090', 'GO:0070542', 'GO:0010467', 'GO:0071455', 'GO:0006473', 'GO:2000377', 'GO:0001659', 'GO:0001568', 'GO:0006974', 'GO:0006357', 'GO:0043065', 'GO:0032869', 'GO:0045444', 'GO:0001678', 'GO:2000177', 'GO:0045732', 'GO:0045599', 'GO:0045944', 'GO:0070417', 'GO:0071732', 'GO:0034599', 'GO:0009267', 'GO:0008286', 'GO:0006914', 'GO:0045722', 'GO:0006915', 'GO:0060070', 'GO:0045893']","['GO:0005829', 'GO:0000785', 'GO:0005737', 'GO:0005634', 'GO:0005739', 'GO:0005654']","['GO:0031625', 'GO:0003682', 'GO:0003676', 'GO:0001228', 'GO:1990841', 'GO:0031490', 'GO:0000981', 'GO:0043565', 'GO:0000978', 'GO:0001227', 'GO:0051721', 'GO:0003700', 'GO:0008013']"
G6PC,"['GO:0035264', 'GO:0042632', 'GO:0006094', 'GO:0061771', 'GO:0032094', 'GO:0005977', 'GO:0008202', 'GO:1904638', 'GO:0046415', 'GO:0032869', 'GO:0042593', 'GO:0051156', 'GO:0010468', 'GO:0006641', 'GO:0005980', 'GO:0015760', 'GO:0009743']","['GO:0005789', 'GO:0016020']","['GO:0016773', 'GO:0004346', 'GO:0042301']"
G6PC2,"['GO:0042593', 'GO:0050796', 'GO:0051156', 'GO:0006094']","['GO:0005789', 'GO:0016020']",['GO:0004346']
G6PC3,"['GO:0051156', 'GO:0006094', 'GO:0015760']","['GO:0005789', 'GO:0016020', 'GO:0005783']",['GO:0004346']
G6PD,"['GO:0046390', 'GO:0006695', 'GO:0019322', 'GO:0032094', 'GO:0010041', 'GO:0006749', 'GO:0045471', 'GO:0006098', 'GO:0006006', 'GO:0009051', 'GO:0051156', 'GO:2000378', 'GO:0061052', 'GO:0034599', 'GO:0043249', 'GO:0043523', 'GO:0021762', 'GO:0006629', 'GO:1904879', 'GO:0006739']","['GO:0034451', 'GO:0005829', 'GO:0070062', 'GO:0005737', 'GO:0009898', 'GO:0016020']","['GO:0042803', 'GO:0005536', 'GO:0050661', 'GO:0042802', 'GO:0004345']"
